continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
asia,bachelor's,n,n,2903,1943,midwest,97520.02,year,y,1
asia,bachelor's,y,n,2504,2001,west,65164.57,year,y,1
north america,high school,y,n,951,1956,midwest,73957.17,year,n,1
asia,master's,y,n,1327,1864,west,71415.43,year,y,1
asia,bachelor's,y,n,2421,1974,south,87336.53,year,y,1
north america,high school,y,n,1019,2005,south,98966.72,week,y,1
asia,doctorate,n,n,1048,1985,midwest,83503.6,year,y,1
asia,master's,n,n,3323,2005,midwest,57590.66,year,y,1
asia,bachelor's,y,n,509,1997,south,32400.2,week,y,1
north america,master's,y,y,2225,1976,northeast,65993.21,year,y,1
asia,bachelor's,y,n,1641,1984,midwest,32161.6,year,y,1
asia,master's,n,n,1144,2001,northeast,16421.37,year,y,0
north america,master's,n,n,2334,1971,south,160676.39,year,n,1
south america,bachelor's,n,n,1415,1913,northeast,53114.02,year,y,0
asia,doctorate,y,y,2754,1997,south,19176.21,year,y,1
north america,master's,n,n,1099,2005,west,204832.52,year,n,0
asia,master's,y,n,960,2012,northeast,40256.03,year,y,1
north america,master's,y,n,2750,1997,west,38841.44,year,y,1
asia,high school,y,n,2753,2010,northeast,133052.84,year,y,0
north america,bachelor's,y,n,23287,2007,south,75234.64,year,n,1
asia,bachelor's,n,n,2140,1997,south,37032.83,year,y,1
asia,bachelor's,n,n,4499,2008,northeast,61617.73,year,y,0
south america,high school,n,n,2554,2005,midwest,247393.01,year,y,1
asia,bachelor's,y,n,1333,1969,northeast,341.0229,hour,y,1
asia,doctorate,n,n,928,1818,south,30570.95,year,y,1
asia,doctorate,y,n,4289,2005,midwest,19477.1,year,y,1
asia,doctorate,y,y,113282,2011,midwest,164893.0,year,y,1
asia,master's,y,n,1948,2002,south,131584.5,year,y,1
asia,master's,y,n,1933,1839,northeast,63896.35,year,y,1
asia,master's,n,n,2847,2013,midwest,77883.22,year,y,1
asia,bachelor's,y,n,1195,1914,midwest,108519.14,year,y,1
asia,master's,y,n,54,1988,south,47002.53,year,n,1
asia,master's,n,n,4390,1944,south,88720.29,year,n,1
asia,master's,y,n,73909,2004,midwest,60821.75,year,y,1
asia,master's,n,y,545,1855,south,66324.69,year,y,1
asia,doctorate,y,n,2831,1977,south,100398.58,year,y,1
asia,bachelor's,n,y,1634,1999,south,51282.75,year,y,1
europe,bachelor's,y,n,1810,1943,south,13322.72,year,y,1
europe,bachelor's,y,n,3290,2005,northeast,357.8194,hour,y,1
asia,master's,y,n,472,2004,west,4787.43,year,y,1
asia,bachelor's,y,n,4273,1884,midwest,149023.92,year,y,1
asia,master's,n,n,2326,1933,west,123739.41,year,y,0
asia,bachelor's,n,n,50351,1975,west,529.1105,hour,y,0
europe,master's,y,n,2261,1966,midwest,68933.4,year,y,1
asia,high school,y,n,255,2003,northeast,412.3476,hour,y,0
asia,master's,y,n,373,2009,south,128931.59,year,n,1
europe,high school,y,y,22,1999,midwest,37751.51,year,y,1
asia,doctorate,y,y,3102,2001,west,81781.43,year,y,1
asia,master's,y,n,5147,1997,northeast,6256.18,year,y,1
asia,doctorate,y,n,284,2007,northeast,44539.97,year,y,1
north america,master's,y,n,1926,1801,west,104281.71,year,y,1
asia,high school,y,n,2510,1920,midwest,125323.7,year,y,1
europe,doctorate,y,y,1200,2013,midwest,81816.46,year,y,1
europe,bachelor's,y,n,337,2004,west,4027.85,year,y,1
north america,doctorate,y,n,2880,1925,south,56117.39,year,n,1
asia,bachelor's,y,n,816,1947,south,113212.16,year,y,1
asia,master's,y,n,2640,2009,west,47095.57,year,y,1
asia,master's,y,n,4190,2006,south,123437.12,year,n,1
asia,bachelor's,y,n,459,1998,northeast,65894.51,year,y,1
asia,high school,y,n,3351,1993,northeast,174333.19,year,y,0
asia,bachelor's,n,n,3639,1988,northeast,192.157,hour,y,0
asia,master's,n,n,373,1992,west,71825.63,week,y,0
europe,bachelor's,n,n,201,1982,south,50362.77,year,y,1
south america,bachelor's,y,n,5461,1979,northeast,9078.62,year,y,1
asia,master's,y,n,3050,1993,northeast,10341.89,year,y,1
asia,bachelor's,y,n,28592,1997,west,61740.3,year,y,1
europe,bachelor's,y,n,3207,1995,midwest,61031.95,year,y,1
asia,doctorate,y,n,5820,1998,south,31986.79,year,y,1
north america,bachelor's,y,y,3229,1999,south,93384.38,year,y,1
asia,bachelor's,y,n,2708,2010,northeast,109921.68,year,y,1
asia,doctorate,n,y,2779,2002,midwest,122535.0,year,y,1
asia,high school,y,n,977,1986,northeast,105898.54,year,y,0
europe,bachelor's,y,y,44069,2006,west,134350.49,year,y,1
europe,bachelor's,y,n,1566,1931,south,126498.81,year,y,1
europe,master's,n,y,4439,1962,south,113366.37,year,y,1
asia,master's,n,n,1929,2001,midwest,100401.52,year,y,1
asia,bachelor's,n,n,654,1954,northeast,128173.92,year,y,0
asia,high school,y,y,557,2010,northeast,313.835,hour,y,0
asia,bachelor's,n,n,421,2005,midwest,88809.74,year,y,1
europe,high school,y,n,600,2009,northeast,138032.0,year,y,0
south america,master's,y,n,1551,1989,west,630.66,year,y,1
europe,doctorate,y,n,2540,2003,midwest,29469.17,year,y,1
asia,bachelor's,y,n,961,2007,west,123688.79,year,y,1
asia,doctorate,y,n,3726,1884,northeast,111179.86,year,n,1
north america,master's,y,n,4045,1987,west,102909.59,year,n,1
asia,master's,y,n,128431,1991,west,128850.75,year,y,1
africa,master's,y,n,2180,1992,midwest,113637.4,year,y,1
asia,bachelor's,n,n,872,1991,northeast,179675.58,year,y,0
europe,master's,n,n,2689,1998,south,15814.94,year,y,1
europe,master's,n,y,2752,2006,south,21511.58,year,y,1
asia,master's,n,n,1375,1976,south,94252.62,year,n,1
europe,master's,y,n,7320,1868,northeast,89207.07,year,y,1
asia,doctorate,y,n,3282,1979,west,74441.11,year,y,1
asia,bachelor's,y,n,1313,2002,west,99469.71,year,y,1
asia,bachelor's,y,n,3128,1999,west,31890.66,year,y,1
asia,master's,n,n,4757,1981,midwest,167376.13,year,y,1
asia,high school,y,n,2122,1859,midwest,130404.72,year,y,1
asia,high school,y,n,2524,1946,west,84130.53,year,y,0
europe,doctorate,y,n,766,1950,midwest,89079.05,year,y,1
asia,high school,n,n,1190,2003,south,82464.74,year,y,1
north america,high school,n,n,2741,2005,northeast,158.3807,hour,y,0
asia,master's,n,n,3233,2012,south,62640.94,year,n,1
asia,master's,y,n,2696,1966,island,116642.18,year,n,1
asia,master's,y,n,3980,1869,south,53767.37,year,y,1
asia,doctorate,n,y,111,2008,northeast,115777.03,year,y,0
north america,master's,n,n,5396,1963,south,101399.51,year,n,1
asia,bachelor's,n,n,2778,2000,northeast,146374.48,year,y,0
europe,bachelor's,n,y,789,1925,midwest,21282.82,year,y,1
asia,master's,y,n,1515,2001,midwest,269321.68,year,n,1
north america,bachelor's,y,n,26891,1917,northeast,52114.54,year,y,0
europe,bachelor's,n,n,1867,1933,northeast,2390.74,year,y,1
europe,master's,y,n,3395,2008,south,73623.94,year,y,1
asia,bachelor's,y,n,879,1996,midwest,141796.39,month,y,1
north america,doctorate,y,y,2518,2010,south,219529.62,year,y,1
europe,doctorate,n,n,2468,1991,west,195404.0,year,y,1
europe,bachelor's,n,n,787,1913,northeast,158569.72,year,n,0
south america,bachelor's,n,n,1004,1960,midwest,135792.52,year,y,1
asia,bachelor's,y,n,717,1998,northeast,100379.63,year,y,1
north america,master's,n,n,20,1997,midwest,138925.72,year,n,1
asia,high school,y,n,503,1998,midwest,118458.61,year,y,1
asia,high school,y,n,584,1968,west,688.1266,hour,y,0
asia,master's,n,n,2770,1997,south,112028.45,year,n,1
north america,high school,n,n,284,1982,west,808.582,hour,y,0
asia,master's,y,n,1935,1989,northeast,112881.33,year,y,1
asia,doctorate,y,n,2098,2010,south,7794.05,year,y,1
asia,bachelor's,y,n,3223,1997,south,7113.47,year,y,1
europe,bachelor's,n,n,2771,1975,west,100786.62,year,y,1
north america,high school,n,n,2147,1986,west,87390.54,year,y,0
asia,bachelor's,n,n,2543,2014,west,93644.17,year,y,0
north america,master's,n,n,155999,2003,west,118555.6,year,y,0
asia,master's,n,n,3592,1950,west,114512.69,year,y,0
europe,master's,y,n,5504,1996,south,59125.18,year,y,1
europe,high school,y,n,2216,2000,northeast,26325.98,year,y,0
oceania,doctorate,y,n,2871,2009,south,56606.54,month,y,1
africa,bachelor's,n,y,2509,2003,west,51886.04,year,y,0
north america,master's,n,n,1720,1995,northeast,62112.22,week,y,0
europe,doctorate,y,n,1760,1997,south,63108.03,year,y,1
europe,master's,n,n,-25,1980,northeast,39452.99,year,y,1
europe,doctorate,y,y,1025,2005,northeast,80580.97,year,y,1
europe,doctorate,n,n,109,2008,south,37291.82,year,y,1
north america,master's,y,n,2901,1971,northeast,95974.61,year,y,1
asia,high school,y,n,4449,1963,northeast,21846.43,year,y,0
asia,master's,y,n,4280,2004,northeast,61147.07,year,y,1
europe,doctorate,n,y,2223,2013,west,120148.75,year,y,1
asia,bachelor's,y,n,1667,2007,south,206941.23,year,n,1
europe,master's,y,n,5260,1994,west,91689.54,year,y,1
asia,master's,n,n,365,1896,northeast,76214.85,year,y,0
europe,high school,n,n,1243,1998,west,65458.88,year,y,0
asia,master's,y,n,1721,2009,south,62730.52,year,y,1
asia,bachelor's,y,n,517,1949,south,21651.43,year,y,1
asia,bachelor's,n,n,3266,2007,midwest,102598.35,year,y,1
asia,bachelor's,y,n,955,1998,west,56422.81,year,y,1
asia,bachelor's,n,n,1310,2007,south,141372.27,year,y,1
asia,master's,n,y,2854,1843,northeast,138642.17,year,y,0
asia,bachelor's,y,n,230,1925,midwest,143628.65,year,y,1
asia,master's,n,n,2374,2006,midwest,35760.36,year,y,1
asia,master's,n,n,4241,1998,northeast,3456.8,year,y,0
south america,high school,y,n,69469,1974,south,42469.25,year,y,1
asia,bachelor's,n,n,5425,1855,northeast,45614.3,year,y,0
north america,master's,y,n,2733,1960,west,108458.31,year,y,1
asia,master's,y,n,3664,1931,west,62950.34,year,y,1
asia,bachelor's,n,y,1546,1850,south,162990.52,year,y,1
asia,master's,y,n,2486,1906,south,84521.88,year,y,1
north america,master's,y,n,1233,2001,south,141129.7,year,n,1
asia,high school,n,n,1681,1999,west,85218.35,year,y,0
africa,master's,n,n,1608,2009,west,118.84,hour,y,0
asia,master's,n,n,4349,1998,west,154428.88,year,n,0
asia,bachelor's,y,n,1764,1961,south,65108.59,year,y,1
asia,bachelor's,y,y,4440,1998,south,21001.69,year,y,1
asia,high school,n,n,769,1951,south,57370.96,year,y,1
asia,master's,n,n,2443,1958,midwest,99714.22,year,y,1
asia,high school,n,n,3725,2009,midwest,139424.83,year,y,1
asia,bachelor's,n,n,2061,1995,west,20951.91,year,y,0
asia,master's,y,n,216,1909,midwest,66329.37,year,y,1
europe,bachelor's,y,n,3489,2007,south,88447.6,year,y,1
north america,bachelor's,n,y,433,1912,west,123018.45,year,y,0
asia,bachelor's,y,n,1932,1989,south,165.2722,hour,y,1
north america,master's,y,n,572,1847,northeast,12800.02,year,y,1
europe,master's,y,n,306,1975,south,103390.44,year,n,1
europe,bachelor's,n,n,623,2007,northeast,25419.59,year,y,1
oceania,bachelor's,n,n,2288,2011,west,82385.6,year,y,0
asia,master's,n,y,3370,2007,west,42761.33,year,y,0
asia,master's,n,n,875,1983,midwest,98119.94,year,y,1
north america,bachelor's,n,n,2586,1997,west,2007.26,year,y,0
asia,bachelor's,n,n,661,2006,midwest,84899.65,year,y,1
asia,bachelor's,n,n,2337,1996,south,26813.7,year,y,1
asia,bachelor's,n,n,1672,1998,south,367.31,year,y,1
asia,master's,y,n,717,1948,south,116370.47,year,y,1
europe,bachelor's,y,n,1017,1975,south,32086.09,year,y,1
asia,high school,n,n,1624,2000,west,205084.59,year,y,0
asia,bachelor's,n,y,3891,1931,south,45860.87,year,y,1
asia,master's,y,y,2009,2005,west,69741.05,year,y,1
asia,master's,y,n,3268,2012,midwest,101371.21,year,y,1
asia,master's,n,n,1312,1998,south,93644.47,year,y,1
north america,bachelor's,n,n,229,2005,west,248.01,hour,y,0
asia,bachelor's,y,n,2597,1945,west,155042.99,year,y,1
asia,bachelor's,y,n,2114,1977,west,596.2488,hour,y,1
north america,master's,y,n,48369,2007,west,53304.04,year,y,1
asia,bachelor's,y,n,2609,1991,northeast,34738.65,year,y,1
north america,master's,y,n,4265,1997,south,69375.0,year,y,1
asia,bachelor's,y,n,533,1978,west,30066.16,year,y,1
asia,master's,y,n,4574,2006,northeast,67204.54,year,y,1
asia,master's,y,y,954,1988,west,56065.53,year,y,1
europe,bachelor's,y,n,3831,2010,west,18035.36,year,y,1
asia,bachelor's,n,n,1778,1983,south,100850.52,year,y,1
asia,high school,n,n,29453,2005,island,133586.58,year,y,0
asia,high school,n,n,652,1913,northeast,24968.7,year,n,0
asia,high school,y,n,2170,1998,midwest,115801.09,year,y,1
north america,high school,y,n,3550,2012,west,268.1379,hour,y,1
south america,bachelor's,n,n,1761,1995,midwest,667.4133,hour,y,1
asia,high school,n,n,805,1898,northeast,117.85,hour,y,0
north america,doctorate,y,y,1615,1991,south,112655.02,year,y,1
south america,high school,y,n,4153,2010,island,135250.42,year,y,1
asia,high school,n,y,743,1999,south,132240.65,year,y,1
asia,bachelor's,y,n,3827,1995,south,65376.07,year,y,1
asia,master's,y,n,2345,1966,south,111254.68,year,y,1
europe,bachelor's,y,n,6188,1993,south,94830.46,year,y,1
north america,bachelor's,y,n,629,2004,west,232227.33,year,y,1
asia,bachelor's,y,n,5576,2009,west,125246.83,year,y,1
europe,doctorate,y,n,5075,1981,northeast,36028.54,year,y,1
asia,master's,n,n,2234,1920,west,238691.32,year,n,0
asia,bachelor's,y,n,2698,1970,west,34168.31,year,y,1
asia,doctorate,y,n,1485,1993,northeast,91290.38,year,y,1
europe,bachelor's,n,n,2425,2008,south,83239.29,year,y,1
south america,bachelor's,y,n,2969,1923,west,62586.7,year,y,0
europe,bachelor's,y,n,1738,2011,midwest,29260.86,year,y,1
asia,master's,y,n,4614,1911,northeast,84716.62,year,n,1
asia,master's,y,n,1222,1975,midwest,54424.62,year,y,1
europe,doctorate,n,n,186,1991,west,16551.46,year,y,1
north america,bachelor's,n,y,2747,1994,northeast,42321.96,year,y,0
asia,bachelor's,y,n,2114,2012,northeast,15.7716,hour,y,1
asia,high school,y,n,4550,1968,midwest,104457.29,year,y,1
europe,bachelor's,n,n,1083,1999,south,69113.96,year,y,1
asia,master's,y,n,822,1838,northeast,66711.21,year,n,1
north america,bachelor's,y,n,25805,2002,south,25512.46,year,y,1
asia,master's,n,n,1741,1950,northeast,20687.36,year,y,0
asia,bachelor's,n,n,3438,2013,island,97325.13,year,y,0
asia,master's,n,n,1501,1983,midwest,120371.72,year,y,1
asia,master's,y,n,2284,2013,south,51610.24,year,y,1
asia,bachelor's,n,n,2384,2007,west,96146.09,year,n,0
asia,master's,n,y,1031,2014,northeast,220448.17,year,n,0
asia,master's,y,n,3213,1924,midwest,23272.21,year,y,1
asia,master's,n,n,1894,1906,northeast,106937.84,year,y,0
asia,bachelor's,n,n,2280,2011,midwest,37069.3,year,y,1
asia,bachelor's,y,n,1610,1962,midwest,98331.32,year,y,1
asia,bachelor's,y,n,1766,1997,south,3683.43,year,y,1
asia,bachelor's,y,n,2269,1997,northeast,196668.77,year,n,1
asia,bachelor's,n,y,114,1851,west,69228.82,year,y,0
south america,doctorate,n,n,819,1994,island,33645.87,year,y,0
north america,doctorate,y,n,28418,1969,northeast,109700.58,year,y,1
asia,high school,n,n,1983,2010,west,30668.32,year,y,0
asia,bachelor's,y,n,2927,1977,south,99753.8,year,y,1
asia,bachelor's,n,n,2553,2004,midwest,68751.19,year,y,1
asia,doctorate,y,n,82716,1993,west,111724.66,year,n,1
south america,bachelor's,y,n,1837,1898,south,227.1764,hour,y,1
asia,bachelor's,y,n,308,1995,west,86133.77,year,y,1
north america,high school,n,y,2561,2014,northeast,43754.7,year,y,0
asia,doctorate,y,n,70113,1897,northeast,67492.78,week,y,1
asia,master's,y,n,5483,2003,west,48943.43,year,y,1
europe,master's,y,n,81379,1999,south,49256.63,year,y,1
asia,bachelor's,y,n,1506,1998,northeast,112853.73,year,y,1
asia,master's,y,n,190,2001,midwest,144312.48,year,y,1
north america,bachelor's,y,y,2701,2010,south,93506.62,year,y,1
asia,master's,n,n,3062,2001,northeast,198752.64,year,n,0
asia,high school,y,n,71,2005,south,18476.27,year,y,1
asia,doctorate,n,n,3166,1995,northeast,97353.15,year,n,0
asia,high school,y,n,35961,1865,northeast,152912.99,year,y,0
north america,master's,y,n,94411,1977,northeast,50067.16,year,y,1
asia,bachelor's,n,n,2594,1849,south,85495.84,year,y,1
asia,master's,y,n,2240,2006,west,19525.49,year,y,1
asia,bachelor's,n,y,-11,2011,northeast,32506.14,year,y,0
asia,bachelor's,y,n,2090,1872,west,197452.18,year,n,1
asia,bachelor's,y,n,149,1948,south,45850.33,year,y,1
asia,master's,y,n,855,2009,northeast,53519.51,year,y,1
asia,master's,y,n,566,1998,midwest,142325.74,year,y,1
asia,doctorate,n,n,3970,2013,west,74603.2,year,y,0
asia,bachelor's,y,n,720,2001,west,124317.33,year,y,1
europe,bachelor's,n,n,2948,1967,west,323.7,year,y,1
asia,doctorate,y,n,3962,2011,northeast,73225.28,year,y,1
africa,master's,y,n,4857,2001,northeast,101949.05,year,y,1
north america,doctorate,n,n,1200,1996,midwest,107875.51,year,y,1
north america,master's,y,n,2579,2007,west,68683.19,year,y,1
south america,high school,n,n,1864,1911,island,137985.25,year,y,0
europe,bachelor's,n,n,202,1986,west,35868.69,year,y,1
asia,bachelor's,y,n,51,2003,west,21976.68,year,y,1
europe,bachelor's,n,y,3628,2000,northeast,79840.12,year,y,0
asia,bachelor's,y,n,1872,1926,west,99201.01,year,y,1
north america,bachelor's,y,n,869,2001,west,64084.23,year,y,1
north america,high school,y,n,693,1999,west,123519.71,year,y,1
europe,doctorate,y,n,1525,1978,west,11287.42,year,y,1
asia,master's,y,n,1584,1984,midwest,45261.26,year,y,1
asia,master's,n,n,448,2006,northeast,112831.03,year,y,0
europe,bachelor's,y,n,714,1873,west,113927.99,week,y,1
asia,bachelor's,y,y,1000,1848,west,103200.45,year,y,1
asia,master's,n,n,1983,2002,south,33049.76,year,y,1
asia,master's,n,n,525,2001,west,113911.27,year,n,0
asia,bachelor's,y,n,997,2001,midwest,197676.15,year,y,1
north america,high school,n,n,2290,2015,northeast,293.3152,hour,y,0
north america,bachelor's,y,n,153,1972,midwest,206.4596,hour,y,1
asia,master's,n,n,1313,1889,midwest,157199.78,year,y,1
asia,doctorate,y,n,3659,1876,south,81806.42,year,y,1
asia,bachelor's,y,y,4713,1968,west,100969.89,year,y,1
asia,master's,y,n,979,1852,northeast,59533.78,year,y,1
europe,high school,n,n,1010,2007,west,27345.68,year,y,0
asia,bachelor's,y,y,2105,2000,west,26459.67,year,y,1
north america,high school,n,y,23483,2000,south,65681.0,year,y,1
europe,doctorate,n,n,4651,1938,south,12367.86,year,y,1
north america,master's,n,n,1178,1859,northeast,297.1948,hour,y,0
asia,master's,y,y,690,2013,northeast,79380.0,year,y,1
asia,master's,n,n,2549,1993,south,108989.75,year,n,1
asia,bachelor's,y,n,1363,1982,south,56188.13,year,y,1
asia,bachelor's,n,n,2517,2005,south,188992.63,year,n,1
asia,bachelor's,y,n,3094,1986,south,42657.8,year,y,1
south america,bachelor's,n,y,2378,2005,west,94230.51,year,y,0
north america,bachelor's,y,n,3817,2010,northeast,20141.7,year,y,0
europe,master's,y,n,4247,2005,west,18679.63,year,y,1
asia,doctorate,y,n,2109,2002,northeast,27280.53,year,n,1
north america,master's,n,n,1847,2002,south,299.6081,hour,y,1
asia,master's,n,n,2675,1997,midwest,102915.07,year,y,1
asia,doctorate,y,n,1121,2008,west,230750.48,year,n,1
asia,master's,y,n,3696,2001,northeast,100.98,hour,y,1
asia,bachelor's,n,n,3055,1847,midwest,113440.66,year,y,1
asia,high school,n,n,3282,2003,south,547.5103,hour,y,1
asia,bachelor's,y,n,3466,1868,west,31023.47,year,y,1
asia,bachelor's,n,n,1496,2001,northeast,95886.8,year,n,0
asia,bachelor's,n,n,2481,2008,northeast,411.2051,hour,y,0
asia,master's,y,n,1451,2009,south,129450.64,year,n,1
asia,master's,n,n,1499,1969,northeast,69068.26,year,y,0
asia,high school,y,y,374,1911,west,27132.34,year,y,0
asia,master's,n,n,3537,1998,west,72239.48,year,y,0
asia,high school,y,n,4562,2006,northeast,88925.59,month,y,0
asia,bachelor's,y,n,1641,1985,south,67086.02,year,y,1
asia,master's,n,n,614,1999,west,83824.94,year,y,0
asia,bachelor's,y,n,137,1993,south,23649.64,year,y,1
asia,master's,n,n,956,1960,west,118922.84,year,y,0
north america,bachelor's,n,n,3018,1920,northeast,104.23,hour,y,0
asia,bachelor's,y,n,2884,2008,northeast,114790.58,year,y,1
