education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,prevailing_wage,unit_of_wage,full_time_position,case_status,continent_asia,continent_europe,continent_north america,continent_oceania,continent_south america,region_of_employment_midwest,region_of_employment_northeast,region_of_employment_south,region_of_employment_west,request_ratio,readiness_score,high_investment_flag,expertise_level_Specialist,expertise_level_Standard
3,1,0,2.002814823511326,1995.0,230.8072,hour,1,1,True,False,False,False,False,False,True,False,False,0.00013837000136455375,1,0,False,True
3,1,0,0.003674187040168029,1998.0,113799.64,year,1,1,True,False,False,False,False,False,True,False,False,0.0004222972971189623,1,0,False,True
2,1,1,-0.9405840206582399,1994.0,85854.09,year,1,1,False,True,False,False,False,False,False,False,True,0.0012836970458489127,2,0,True,False
2,1,0,0.4079994035460005,1996.0,14174.04,year,1,1,True,False,False,False,False,False,True,False,False,0.0003539823007596523,1,0,False,True
2,0,0,0.8478269962666927,2007.0,47176.84,year,1,1,False,True,False,False,False,False,False,False,True,0.00028490028481911674,0,0,False,False
4,0,0,0.2446397940133672,2012.0,4949.28,year,1,1,True,False,False,False,False,True,False,False,False,0.00038109756083037444,0,0,False,False
3,0,1,1.5651598355470222,2010.0,67410.59,year,1,0,True,False,False,False,False,False,False,False,True,0.00018726591756792772,1,1,False,True
4,1,1,-0.05609368172265903,1994.0,58791.58,year,1,1,False,True,False,False,False,True,False,False,False,0.000432713111020029,2,0,True,False
1,0,0,1.4965622075750762,2004.0,103.2216,hour,1,0,True,False,False,False,False,False,False,False,True,0.00019569471620436502,0,0,False,False
2,1,0,-0.9405840206582399,1995.0,62591.57,year,1,1,False,True,False,False,False,False,False,True,False,0.0007598784188754722,1,0,False,True
3,0,0,-0.9405840206582399,2001.0,102919.59,year,1,0,True,False,False,False,False,False,True,False,False,0.0099999999,0,0,False,False
3,1,0,-0.4050478312552656,2007.0,123468.56,year,1,1,True,False,False,False,False,True,False,False,False,0.0004948045519570487,1,0,False,True
2,0,0,-0.9405840206582399,1968.0,82324.64,year,0,0,False,False,True,False,False,False,False,False,True,0.012499999843750002,0,0,False,False
4,1,0,-0.34004288371024705,1932.5,5319.49,year,1,1,False,True,False,False,False,False,False,False,True,0.00048309178720623585,1,0,False,True
2,1,1,0.27031291590224604,2013.0,153019.94,year,1,1,True,False,False,False,False,True,False,False,False,0.0003767897511767936,2,0,True,False
3,1,0,-0.9405840206582399,2005.0,38059.89,year,1,1,True,False,False,False,False,False,False,True,False,0.003424657522518296,1,0,False,True
1,1,0,-0.9405840206582399,2001.0,230.327,hour,1,0,True,False,False,False,False,False,True,False,False,0.0007575757570018365,1,0,False,True
1,1,0,-0.8743097229037092,2007.0,61521.92,year,1,1,True,False,False,False,False,False,False,True,False,0.000580720092577979,1,0,False,True
2,1,0,0.7515243889654244,1935.0,121316.5,year,1,0,False,True,False,False,False,False,True,False,False,0.0002994908654389066,1,0,False,True
3,1,0,-0.9405840206582399,1932.5,122540.55,year,1,1,True,False,False,False,False,False,False,True,False,0.0022123893756363067,1,0,False,True
3,1,0,0.9491190664613469,2001.0,47170.76,year,1,1,False,False,False,False,False,False,False,True,False,0.00026990553299057884,1,0,False,True
2,0,0,-0.9405840206582399,1999.0,330.3743,hour,1,0,False,False,True,False,False,False,True,False,False,0.011764705743944639,0,0,False,False
2,1,0,0.05905933461318552,1932.5,2927.34,year,1,1,False,True,False,False,False,False,False,False,True,0.000412711514480928,1,0,False,True
2,1,0,-0.9405840206582399,1999.0,107781.48,year,1,1,True,False,False,False,False,False,False,True,False,0.0007849293557418136,1,0,False,True
3,0,0,-0.9405840206582399,2001.0,590.0203,hour,1,1,False,False,True,False,False,False,False,True,False,0.0006455777917071802,0,0,False,False
1,0,1,-0.9405840206582399,1998.0,194176.83,year,1,0,True,False,False,False,False,False,False,False,True,0.0009416195848007347,1,1,False,True
2,1,0,2.002814823511326,1947.0,102073.81,year,1,1,True,False,False,False,False,False,False,True,False,0.00013837000136455375,1,0,False,True
3,1,0,1.103559344154974,2001.0,113882.38,year,1,1,True,False,False,False,False,False,False,True,False,0.0002477700693142294,1,0,False,True
1,1,0,-0.9405840206582399,2000.0,70778.82,year,1,0,True,False,False,False,False,False,False,False,True,0.025641024983563465,1,0,False,True
2,1,0,-0.005598201710827453,2007.0,84125.48,year,1,1,True,False,False,False,False,False,True,False,False,0.00042390843559817366,1,0,False,True
3,1,1,-0.9405840206582399,2002.0,174014.59,year,1,1,True,False,False,False,False,False,False,True,False,0.000977517105593825,2,0,True,False
3,1,0,0.11425085256876567,1981.0,34213.17,year,1,1,True,False,False,False,False,False,True,False,False,0.0004032258062890219,1,0,False,True
1,0,0,-0.9405840206582399,1989.0,79813.05,year,0,0,True,False,False,False,False,False,True,False,False,0.0007968127483690735,0,0,False,False
1,1,0,1.2735904233271247,1998.0,113327.34,year,1,0,True,False,False,False,False,False,False,False,True,0.0002244668910831724,1,0,False,True
2,0,0,0.1728161206268341,1939.0,78893.64,year,1,0,True,False,False,False,False,False,True,False,False,0.00039323633488272267,0,0,False,False
2,1,0,-0.9405840206582399,2008.0,140290.16,year,1,1,True,False,False,False,False,False,False,False,True,0.0007358351723798121,1,0,False,True
1,1,1,-0.042241116798535844,2006.0,111926.01,year,1,0,True,False,False,False,False,False,True,False,False,0.0004302925987821461,2,0,True,False
2,0,0,1.1324932782427033,2004.0,125880.21,year,1,0,False,False,True,False,False,False,True,False,False,0.0002437241042545152,0,0,False,False
2,0,0,0.9300343499075173,1970.0,527.8901,hour,1,0,True,False,False,False,False,False,True,False,False,0.00027270248151821586,0,0,False,False
1,0,0,-0.9405840206582399,2010.0,49357.95,year,1,1,True,False,False,False,False,True,False,False,False,0.0020491803236697124,0,0,False,False
2,1,0,0.32839193990641846,1998.0,69335.2,year,1,1,False,False,True,False,False,False,False,True,False,0.00036710719516626025,1,0,False,True
3,0,0,-0.9405840206582399,2001.0,99737.18,year,0,1,True,False,False,False,False,False,False,True,False,0.0007183908040816157,0,0,False,False
2,1,0,0.19985708181098322,1977.0,91449.62,year,1,0,False,False,True,False,False,False,True,False,False,0.0003886513795613481,1,0,False,True
2,1,0,0.855387412395513,1982.0,34494.86,year,1,1,False,False,True,False,False,True,False,False,False,0.00028376844486839716,1,0,False,True
1,0,0,-0.6609837639383715,1977.0,395.995,hour,1,0,True,False,False,False,False,False,True,False,False,0.0005414185162201307,0,0,False,False
3,0,0,2.002814823511326,1970.0,159645.51,year,1,0,True,False,False,False,False,False,False,False,True,0.00013837000136455375,0,0,False,False
3,1,0,-0.14895618277195766,2007.0,28243.79,year,1,1,True,False,False,False,False,False,True,False,False,0.000449034575460694,1,0,False,True
3,1,0,-0.9405840206582399,2007.0,43421.88,year,1,1,True,False,False,False,False,True,False,False,False,0.0029940119670837967,1,0,False,True
2,1,0,-0.9405840206582399,2008.0,80253.78,year,1,1,True,False,False,False,False,True,False,False,False,0.004464285694355867,1,0,False,True
4,1,0,-0.9405840206582399,1982.0,115235.95,year,1,1,True,False,False,False,False,False,False,False,True,0.0027247956329024643,1,0,False,True
3,1,0,-0.9405840206582399,2003.0,95200.86,year,0,1,True,False,False,False,False,False,True,False,False,0.003267973845529497,1,0,False,True
4,1,0,-0.04968358155342266,1995.0,41613.52,year,1,1,False,False,True,False,False,False,False,False,False,0.00043159257642141023,1,0,False,True
2,0,0,-0.9405840206582399,1981.0,64137.41,year,1,0,True,False,False,False,False,False,False,False,True,0.0011235955043555107,0,0,False,False
2,1,0,-0.43102123016313953,2006.0,66295.43,year,1,1,True,False,False,False,False,False,False,True,False,0.0004995004992509988,1,0,False,True
2,0,0,0.46636942232634104,1943.0,97520.02,year,1,1,True,False,False,False,False,True,False,False,False,0.00034447123653307915,0,0,False,False
2,1,0,0.13685337920467278,2001.0,65164.57,year,1,1,True,False,False,False,False,False,False,False,True,0.00039936102220472806,1,0,False,True
1,1,0,-0.9405840206582399,1956.0,73957.17,year,0,1,False,False,True,False,False,True,False,False,False,0.0010515247097250002,1,0,False,True
3,1,0,-0.9405840206582399,1932.5,71415.43,year,1,1,True,False,False,False,False,False,False,False,True,0.0007535795020696462,1,0,False,True
2,1,0,0.05708287336946919,1974.0,87336.53,year,1,1,True,False,False,False,False,False,False,True,False,0.0004130524574915108,1,0,False,True
1,1,0,-0.9405840206582399,2005.0,98966.72,week,1,1,False,False,True,False,False,False,False,True,False,0.0009813542679280136,1,0,False,True
4,0,0,-0.9405840206582399,1985.0,83503.6,year,1,1,True,False,False,False,False,True,False,False,False,0.0009541984723719479,0,0,False,False
3,0,0,0.7421185082371147,2005.0,57590.66,year,1,1,True,False,False,False,False,True,False,False,False,0.0003009328918745312,0,0,False,False
2,1,0,-0.9405840206582399,1997.0,32400.2,week,1,1,True,False,False,False,False,False,False,True,False,0.001964636538379889,1,0,False,True
3,1,1,-0.15124117910847595,1976.0,65993.21,year,1,1,False,False,True,False,False,False,True,False,False,0.00044943820204519636,2,0,True,False
2,1,0,-0.9405840206582399,1984.0,32161.6,year,1,1,True,False,False,False,False,True,False,False,False,0.000609384521261801,1,0,False,True
3,0,0,-0.9405840206582399,2001.0,16421.37,year,1,0,True,False,False,False,False,False,True,False,False,0.000874125873361778,0,0,False,False
3,0,0,-0.03167558312942396,1971.0,160676.39,year,0,1,False,False,True,False,False,False,False,True,False,0.00042844901438369797,0,0,False,False
2,0,0,-0.9405840206582399,1932.5,53114.02,year,1,0,False,False,False,False,True,False,True,False,False,0.0007067137804192835,0,0,False,False
4,1,1,0.35253663278739467,1997.0,19176.21,year,1,1,True,False,False,False,False,False,False,True,False,0.0003631082061136136,2,0,True,False
3,0,0,-0.9405840206582399,2005.0,204832.52,year,0,0,False,False,True,False,False,False,False,False,True,0.0009099181065423856,0,0,False,False
3,1,0,-0.9405840206582399,2012.0,40256.03,year,1,1,True,False,False,False,False,False,True,False,False,0.0010416666655815971,1,0,False,True
3,1,0,0.34934233983115165,1997.0,38841.44,year,1,1,False,False,True,False,False,False,False,False,True,0.00036363636350413226,1,0,False,True
1,1,0,0.35173877336155895,2010.0,133052.84,year,1,0,True,False,False,False,False,False,True,False,False,0.0003632401015752851,1,0,False,True
2,1,0,2.002814823511326,2007.0,75234.64,year,0,1,False,False,True,False,False,False,False,True,False,0.00013837000136455375,1,0,False,True
2,0,0,-0.2517936490654803,1997.0,37032.83,year,1,1,True,False,False,False,False,False,False,True,False,0.00046728971940780857,0,0,False,False
2,0,0,1.2900568441040239,2008.0,61617.73,year,1,0,True,False,False,False,False,False,True,False,False,0.000222271615865243,0,0,False,False
1,0,0,0.1827928011077348,2005.0,218315.56125000003,year,1,1,False,False,False,False,True,True,False,False,False,0.0003915426779986129,0,0,False,False
2,1,0,-0.9405840206582399,1969.0,341.0229,hour,1,1,True,False,False,False,False,False,True,False,False,0.0007501875463239402,1,0,False,True
4,0,0,-0.9405840206582399,1932.5,30570.95,year,1,1,True,False,False,False,False,False,False,True,False,0.0010775862057353597,0,0,False,False
4,1,0,1.2092148483355516,2005.0,19477.1,year,1,1,True,False,False,False,False,True,False,False,False,0.00023315458143316516,1,0,False,True
4,1,1,2.002814823511326,2011.0,164893.0,year,1,1,True,False,False,False,False,True,False,False,False,0.00013837000136455375,2,0,True,False
3,1,0,-0.5073364268243498,2002.0,131584.5,year,1,1,True,False,False,False,False,False,False,True,False,0.0005133470223237438,1,0,False,True
3,1,0,-0.5292220961273922,1932.5,63896.35,year,1,1,True,False,False,False,False,False,True,False,False,0.0005173305739693064,1,0,False,True
3,0,0,0.4247257227499113,2013.0,77883.22,year,1,1,True,False,False,False,False,True,False,False,False,0.00035124692646601793,0,0,False,False
2,1,0,-0.9405840206582399,1932.5,108519.14,year,1,1,True,False,False,False,False,True,False,False,False,0.0008368200829817405,1,0,False,True
3,1,0,-0.9405840206582399,1988.0,47002.53,year,0,1,True,False,False,False,False,False,False,True,False,0.018518518175582997,1,0,False,True
3,0,0,1.2488165900787485,1944.0,88720.29,year,0,1,True,False,False,False,False,False,False,True,False,0.00022779043274993383,0,0,False,False
3,1,0,2.002814823511326,2004.0,60821.75,year,1,1,True,False,False,False,False,True,False,False,False,0.00013837000136455375,1,0,False,True
3,0,1,-0.9405840206582399,1932.5,66324.69,year,1,1,True,False,False,False,False,False,False,True,False,0.001834862381954381,1,1,False,True
4,1,0,0.4125821169354881,1977.0,100398.58,year,1,1,True,False,False,False,False,False,False,True,False,0.0003532320733474984,1,0,False,True
2,0,1,-0.9405840206582399,1999.0,51282.75,year,1,1,True,False,False,False,False,False,False,True,False,0.0006119951036646297,1,1,False,True
2,1,0,-0.7212357652133452,1943.0,13322.72,year,1,1,False,True,False,False,False,False,False,True,False,0.0005524861875400628,1,0,False,True
2,1,0,0.7224921693840409,2005.0,357.8194,hour,1,1,False,True,False,False,False,False,True,False,False,0.0003039513676887686,1,0,False,True
3,1,0,-0.9405840206582399,2004.0,4787.43,year,1,1,True,False,False,False,False,False,False,False,True,0.0021186440633079577,1,0,False,True
2,1,0,1.2028130446868297,1932.5,149023.92,year,1,1,True,False,False,False,False,True,False,False,False,0.00023402761520383158,1,0,False,True
3,0,0,-0.0401217700873518,1933.0,123739.41,year,1,0,True,False,False,False,False,False,False,False,True,0.00042992261374465927,0,0,False,False
2,0,0,2.002814823511326,1975.0,529.1105,hour,1,0,True,False,False,False,False,False,False,False,True,0.00013837000136455375,0,0,False,False
3,1,0,-0.11064955457189043,1966.0,68933.4,year,1,1,False,True,False,False,False,True,False,False,False,0.00044228217583269254,1,0,False,True
1,1,0,-0.9405840206582399,2003.0,412.3476,hour,1,0,True,False,False,False,False,False,True,False,False,0.00392156861207228,1,0,False,True
3,1,0,-0.9405840206582399,2009.0,128931.59,year,0,1,True,False,False,False,False,False,False,True,False,0.002680965140265509,1,0,False,True
1,1,1,-0.9405840206582399,1999.0,37751.51,year,1,1,False,True,False,False,False,True,False,False,False,0.045454543388429844,2,0,True,False
4,1,1,0.6044440239862973,2001.0,81781.43,year,1,1,True,False,False,False,False,False,False,False,True,0.0003223726626942706,2,0,True,False
3,1,0,1.5078977470879722,1997.0,6256.18,year,1,1,True,False,False,False,False,False,True,False,False,0.00019428793468150612,1,0,False,True
4,1,0,-0.9405840206582399,2007.0,44539.97,year,1,1,True,False,False,False,False,False,True,False,False,0.0035211267481650467,1,0,False,True
3,1,0,-0.5395419239237778,1932.5,104281.71,year,1,1,False,False,True,False,False,False,False,False,True,0.0005192107993150515,1,0,False,True
1,1,0,0.1424471395138167,1932.5,125323.7,year,1,1,True,False,False,False,False,True,False,False,False,0.0003984063743432644,1,0,False,True
4,1,1,-0.9405840206582399,2013.0,81816.46,year,1,1,False,True,False,False,False,True,False,False,False,0.0008333333326388888,2,0,True,False
2,1,0,-0.9405840206582399,2004.0,4027.85,year,1,1,False,True,False,False,False,False,False,False,True,0.002967359041639884,1,0,False,True
4,1,0,0.44942481956405345,1932.5,56117.39,year,0,1,False,False,True,False,False,False,False,True,False,0.00034722222210165895,1,0,False,True
2,1,0,-0.9405840206582399,1947.0,113212.16,year,1,1,True,False,False,False,False,False,False,True,False,0.0012254901945766051,1,0,False,True
3,1,0,0.25839232764938935,2009.0,47095.57,year,1,1,True,False,False,False,False,False,False,False,True,0.00037878787864439856,1,0,False,True
3,1,0,1.1690168858516412,2006.0,123437.12,year,0,1,True,False,False,False,False,False,False,True,False,0.00023866348442991322,1,0,False,True
2,1,0,-0.9405840206582399,1998.0,65894.51,year,1,1,True,False,False,False,False,False,True,False,False,0.0021786492327262545,1,0,False,True
1,1,0,0.7585324857466192,1993.0,174333.19,year,1,0,True,False,False,False,False,False,True,False,False,0.0002984183824833129,1,0,False,True
2,0,0,0.9157758224286587,1988.0,192.157,hour,1,0,True,False,False,False,False,False,True,False,False,0.000274800769366639,0,0,False,False
3,0,0,-0.9405840206582399,1992.0,71825.63,week,1,0,True,False,False,False,False,False,False,False,True,0.002680965140265509,0,0,False,False
2,0,0,-0.9405840206582399,1982.0,50362.77,year,1,1,False,True,False,False,False,False,False,True,False,0.004975124353357591,0,0,False,False
2,1,0,1.5995515241722433,1979.0,9078.62,year,1,1,False,False,False,False,True,False,True,False,False,0.00018311664526952633,1,0,False,True
3,1,0,0.5697626836421563,1993.0,10341.89,year,1,1,True,False,False,False,False,False,True,False,False,0.0003278688523515184,1,0,False,True
2,1,0,2.002814823511326,1997.0,61740.3,year,1,1,True,False,False,False,False,False,False,False,True,0.00013837000136455375,1,0,False,True
2,1,0,0.6717275912582311,1995.0,61031.95,year,1,1,False,True,False,False,False,True,False,False,False,0.00031181789825013474,1,0,False,True
4,1,0,1.6954361476818844,1998.0,31986.79,year,1,1,True,False,False,False,False,False,False,True,False,0.00017182130581240183,1,0,False,True
2,1,1,0.6853838743449364,1999.0,93384.38,year,1,1,False,False,True,False,False,False,False,True,False,0.0003096934034345948,2,0,True,False
2,1,0,0.31533520438010676,2010.0,109921.68,year,1,1,True,False,False,False,False,False,True,False,False,0.0003692762184751565,1,0,False,True
4,0,1,0.37233001344147204,2002.0,122535.0,year,1,1,True,False,False,False,False,True,False,False,False,0.00035984166953586123,1,1,False,True
1,1,0,-0.9405840206582399,1986.0,105898.54,year,1,0,True,False,False,False,False,False,True,False,False,0.0010235414523812269,1,0,False,True
2,1,1,2.002814823511326,2006.0,134350.49,year,1,1,False,True,False,False,False,False,False,False,True,0.00013837000136455375,2,0,True,False
2,1,0,-0.9405840206582399,1932.5,126498.81,year,1,1,False,True,False,False,False,False,False,True,False,0.0006385696036790742,1,0,False,True
3,0,1,1.2675424642162683,1962.0,113366.37,year,1,1,False,True,False,False,False,False,False,True,False,0.00022527596300399278,1,1,False,True
3,0,0,-0.5351107534057419,2001.0,100401.52,year,1,1,True,False,False,False,False,True,False,False,False,0.0005184033175124917,0,0,False,False
2,0,0,-0.9405840206582399,1954.0,128173.92,year,1,0,True,False,False,False,False,False,True,False,False,0.001529051985429584,0,0,False,False
1,1,1,-0.9405840206582399,2010.0,313.835,hour,1,0,True,False,False,False,False,False,True,False,False,0.001795332133222025,2,0,True,False
2,0,0,-0.9405840206582399,2005.0,88809.74,year,1,1,True,False,False,False,False,True,False,False,False,0.002375296906471979,0,0,False,False
1,1,0,-0.9405840206582399,2009.0,138032.0,year,1,0,False,True,False,False,False,False,True,False,False,0.001666666663888889,1,0,False,True
3,1,0,-0.9405840206582399,1989.0,630.66,year,1,1,False,False,False,False,True,False,False,False,True,0.0006447453251806929,1,0,False,True
4,1,0,0.1700826585402354,2003.0,29469.17,year,1,1,False,True,False,False,False,True,False,False,False,0.0003937007872465745,1,0,False,True
2,1,0,-0.9405840206582399,2007.0,123688.79,year,1,1,True,False,False,False,False,False,False,False,True,0.0010405827252439306,1,0,False,True
4,1,0,0.9595371994949242,1932.5,111179.86,year,0,1,True,False,False,False,False,False,True,False,False,0.0002683843262833107,1,0,False,True
3,1,0,1.1074881034341495,1987.0,102909.59,year,0,1,False,False,True,False,False,False,False,False,True,0.0002472187885668186,1,0,False,True
3,1,0,2.002814823511326,1991.0,128850.75,year,1,1,True,False,False,False,False,False,False,False,True,0.00013837000136455375,1,0,False,True
3,1,0,-0.20361900550147205,1992.0,113637.4,year,1,1,False,False,False,False,False,True,False,False,False,0.00045871559611985525,1,0,False,True
2,0,0,-0.9405840206582399,1991.0,179675.58,year,1,0,True,False,False,False,False,False,True,False,False,0.001146788989510563,0,0,False,False
3,0,0,0.2996642991538807,1998.0,15814.94,year,1,1,False,True,False,False,False,False,False,True,False,0.0003718854591402434,0,0,False,False
3,0,1,0.35094043839344896,2006.0,21511.58,year,1,1,False,True,False,False,False,False,False,True,False,0.00036337209289121657,1,1,False,True
3,0,0,-0.9405840206582399,1976.0,94252.62,year,0,1,True,False,False,False,False,False,False,True,False,0.0007272727267438016,0,0,False,False
3,1,0,2.002814823511326,1932.5,89207.07,year,1,1,False,True,False,False,False,False,True,False,False,0.00013837000136455375,1,0,False,True
4,1,0,0.7176875420522902,1979.0,74441.11,year,1,1,True,False,False,False,False,False,False,False,True,0.0003046922607237379,1,0,False,True
2,1,0,-0.9405840206582399,2002.0,99469.71,year,1,1,True,False,False,False,False,False,False,False,True,0.0007616146224207047,1,0,False,True
